Name,Mentions,Writer
Emily N. Orr,2,0
Daniel Kim,2,0
Ross Simmons,2,0
Amy J. Zhou,2,0
Rachael Estell,2,0
Milan M. Williams,2,0
Paul Ramsey,2,0
Frances Hisgen,2,1
Aurora E. Straus,2,1
Ethan M. Schultz,2,0
Eliel Ig-Izevbekhai,2,1
Courtney Rabb,2,0
Douglass A. Bryant,2,0
Kyle Klink,2,0
Patrick Walsh,2,0
Will Christiansen,2,0
Anthony Nelson,2,0
Daniel Abraham,2,0
DeMarkes Stradford,2,0
Adam Shepherd,2,0
Jackson Walker,2,0
Shirley L. Chen,2,0
Debolina Ghosh,2,0
Asa P. Coleman,2,0
Yejin Kim,2,0
Jaron M. Zhou,2,0
Grey Johnson,2,0
Angel A. Mata,2,0
Xochitl Morales,2,1
Havard Hjermstad,2,1
Samantha G. Um,2,0
Cammie Dopke,2,0
Sofie Fella,2,0
Lainey A. Newman,2,1
Leo A. Garcia,2,0
Evelyn R. Cai,2,0
Steven Wang,2,0
Jade O. Woods,2,0
Sydney A. Lewis,2,0
Guadalupe M. Jacobson-Peregrino,2,0
Mikki Thompson,2,0
James H. Coleman,2,1
Ramona Park,2,1
Cassandra Pasadyn,2,0
Helena Moreno,2,0
Esther Lawrence,2,0
Charles Vaughan,2,0
DaLoria Boone,2,0
Kelisa Cain,2,0
Allie Quan,2,0
Sahana G. Srinivasan,2,0
Blake D. Young,2,0
Edward W. Carr,2,1
Aspen H. Buck,2,1
Humza I. Jilani,2,1
Bridger Gordon,2,1
Lavinia Teodorescu,2,0
Jack Frisoli,2,0
Noelle V. Castro,2,0
Devonne D. Pitts,2,0
Jorge Campos,2,0
Anagha B. Kumar,2,0
Keshav M. Rastogi,2,0
Setu Mehta,2,0
Sreya R. Sudireddy,2,0
Aaron Abai,2,0
Taylor D. Shirtliff-Hinds,2,0
Jacob A. Heberle,2,0
Meherina Khan,2,0
Kim Nguyen,2,0
Linda Lee,2,1
Elizabeth Tartakovsky,2,0
Katherine Y. Zhu,2,0
Sharelle Samuel,2,0
Molly M. Martinez,2,1
Jason Yoo,2,0
Michael J. Phillips,2,0
Leena A. Hamad,2,0
Matt Thomas,2,0
Hope Y. Kudo,2,0
Reshini Premaratne,2,1
Connor S. Dowd,2,1
Amy Zhang,2,0
David M. Hogg,2,0
Ruth H. M. Jaensubhakij,2,0
Jeromel Dela Rosa Lara,2,1
